Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11
,ศูนย์ประสานการรักษาความมั่นคงปลอดภัยไซเบอร์ของระบบการขนส่งทางราง,,Railway CERT,อยู่ระหว่างการจัดตั้ง,หน่วยงานกำกับดูแล,ด้านการขนส่งและโลจิสติกส์,"๕๑๔/๑ อาคาร ณ ถลาง ถนนหลานหลวงง แขวงสี่แยกมหานาค เขตดุสิต
กรุงเทพฯ ๑๐๓๐๐","
E-mail (สำหรับส่งหนังสือทั่วไป/สารบรรณกลาง) : saraban@drt.go.th","021642626, 021642617(fax)",
,ศูนย์ประสานการรักษาความมั่นคงปลอดภัยระบบคอมพิวเตอร์ด้านพลังงาน,Energy Computer Emergency Response Team,Energy CERT,จัดตั้งเสร็จสมบูรณ์,หน่วยงานกำกับดูแล,ด้านพลังงานและสาธารณูปโภค,อาคาร บี ศูนย์เอนเนอร์ยี่ คอมเพล็กซ์ 555/2 ถนนวิภาวดีรังสิต แขวงจตุจักร เขตจตุจักร กรุงเทพฯ 10900,saraban@energy.go.th,"02-140-6000, 02-140-6228(fax)",
,ศูนย์ประสานการรักษาความมั่นคงปลอดภัยไซเบอร์ ด้านการให้บริการสุขภาพในโรงพยานาล กรมสนับสนุนริการสุขภาพ,Health Service Support Computer.Emergency.Response Team,HSS-CERT,อยู่ระหว่างการจัดตั้ง,"หน่วยงานรัฐ, หน่วยงานกำกับดูแล, หน่วยงานโครงสร้างพื้นฐานสำคัญทางสารสนเทศ",ด้านสาธารณสุข,88/44 หมู่ที่ 4 ตำบลตลาดขวัญ อำเภอเมืองนนหบุรี จังหวัดนนนทบุรี,saraban@hss.mail.go.t,"021937002, 021495670(fax)",
,ศูนย์ประสานการรักษาความมั่นคงปลอดภัยระบบคอมพิวเตอร์สำนักงานคณะกรรมการอาหารและยา,Food and Drug Administrator Computer Emergency Response Team,FDA-CERT,จัดตั้งเสร็จสมบูรณ์,หน่วยงานกำกับดูแล,ด้านสาธารณสุข,"
88/24 ถนนติวานนท์ ตำบลตลาดขวัญ อำเภอเมือง จังหวัดนนนทบุรี
11000

สถานที่จัดตั้ง CERT
อาคาร 1 ชั้น 4 สำนักงานคณะกรรมการอาหารและยา 88/24 ถนนติวานนท์ ตำบลตลาดขวัญ อำเภอเมือง จังหวัดนนทบุรี 100000","
saraban@fda.moph.go.th","025907000, 02590711(fax)",
,ศูนย์ประสานการรักษาความมั่นคงปลอดภัยระบบคอมพิวเตอร์ด้านนิวเคลียร์และรังสี,Nuclear and Radiation Computer Emergency Response Team,NR-CERT,จัดตั้งเสร็จสมบูรณ์,หน่วยงานกำกับดูแล,ด้านสาธารณสุข,เลขที่ 16 ถนนวิภาวดีรังสิต แขวงลาดยาว เขตจตุจักร กรุงเทพฯ 10900, saraban@oap.go.th,0-2596-7600 ต่อ 1210,
,ศูนย์ประสานการรักษาความมั่นคงปลอดภัยไซเบอร์ด้านสาธารณสุข,,Health CERT,จัดตั้งเสร็จสมบูรณ์,หน่วยงานกำกับดูแล,ด้านสาธารณสุข,"สำนักงานปลัดกระทรวงสาธารณสุข
เลขที่ 88/20 หมู่ 4 ถนนติวานท์ ตำบลตลาดขวัญ อำเภอเภอเมือง นนทบุรี จังหวัดนทบุรี",saraban@moph.go.th,"0 2590 1000, 0 2590 1174(fax)",
,,,,อยู่ระหว่างการจัดตั้ง,หน่วยงานโครงสร้างพื้นฐานสำคัญทางสารสนเทศ,ด้านพลังงานและสาธารณูปโภค,เลขที่ 72 ชอยแจ้งวัฒนะ 1 ถนนแจ้งวัฒนะ แขวงตลาดบางเขน เขตหลักสี่ กรุงเทพฯ 10210,,,
,กลุ่มงานรับมือสถานการณ์ฉุกเฉินด้านคอมพิวเตอร์มหาวิทยาลัยเทคโนโลยีราชมงคล,Rajamangala University of Technology Computer Emergency Response Team,RMUT CERT,จัดตั้งเสร็จสมบูรณ์,หน่วยงานรัฐ,,"เลขที่ 128 ถนนห้วยแก้ว ตำบลข้างเผือก อำเภอเมืองเชียงใหม่
จังหวัดเชียงใหม่ 50300

สถานที่จัดตั้ง CERT
มหาวิทยาลัยเทคโนโลยีราชมงคลล้านนา เลขที่ 128 ถนนห้วยแก้ว
ตำบลช้างเผือก อำเภอเมืองเชียงใหม่ จังหวัดเชียงใหม่ 50300
",E-mail (อีเมลสำรอง): saraban@rmutl.ac.th,053921444,
,ศูนย์ประสานงานด้านความมั่นคงปลอดภัยเทคโนโลยีสารสนเทศภาคประกันภัย,Thai Insurance Computer Emergency Response Team,TI-CERT,จัดตั้งเสร็จสมบูรณ์,หน่วยงานกำกับดูแล,,"22/79 ถนนรัชดาภิเษก แขวงจันทรเกษม เขตจตุจักร
กรุงเทพมหานคร10900",saraban@oic.or.th,"025153999 ต่อ 1009, 0251539985(fax)",
,ศูนย์ประสานการรักษาความมั่นคงปลอดภัยระบบคอมพิวเตอร์ของกรมการขนส่งทางบก,Department of Land Transport Computer Emergency Response Team,DLT-CERT,จัดตั้งเสร็จสมบูรณ์,หน่วยงานรัฐ,,"๑๐๗๖ ถนนทหลโยธิน แขวงจอมทล เขตจตุจักร กรุงเทพมหามหานคร
๑๐๙๐๐

สถานที่จัดตั้ง CERT
กรมการขนส่งทางบก อาคาร ๙ ขั้น ๒ ศูนย์เทคโนโลยีสารสนเทศ
เลขที่ ๑๐๓๒ ถนนพหลโยธิน แขวงจอมพล เขตจตุจักร กรุงเทพมหานคร ๑๐๙๐๐",saraban@dlt mail.go.th.,"02271 8802 ถึง 3, 02271 8805(fax)",
,ศูนย์ประสานการรักษาความมั่นคงปลอดภัยไซเบอร์ภาคอุดมศึกษา,Thai Higher Education CERT,THE-CSIRT,จัดตั้งเสร็จสมบูรณ์,หน่วยงานรัฐ,,"สำนักงานบริหารเทคโนโลยีสารสนเทศเพื่อพัฒนาการศึกษา
สำนักงานปลัดกระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม
เลขที่ 328 ถนนศรีอยุธยา แขวงทุ่งพญาไท เขตราชเทวี กรุงเทพฯ10400",saraban@mhesi.go.th,02-232-4000,
,,,DOL-CERT,รอยืนยันข้อมูล,,,,,,
,ศูนย์เทคโนโลยีดิจิทัล หน่วยราชการในพระองค์,,DTC CERT,อยู่ระหว่างการจัดตั้ง,,,,,,
,,,CCIB-CERT,อยู่ระหว่างการจัดตั้ง,,,,,,
